Benchmarks	system.cpu.icache.overall_miss_rate::total
speclibm_576	0.018530
speclibm_577	0.013373
speclibm_578	0.011052
speclibm_579	0.018530
speclibm_580	0.013373
speclibm_581	0.011052
speclibm_582	0.018530
speclibm_583	0.013373
speclibm_584	0.011052
speclibm_585	0.018530
speclibm_586	0.013373
speclibm_587	0.011052
speclibm_588	0.018530
speclibm_589	0.013373
speclibm_590	0.011052
speclibm_591	0.018530
speclibm_592	0.013373
speclibm_593	0.011052
speclibm_594	0.018530
speclibm_595	0.013373
speclibm_596	0.011052
speclibm_597	0.018530
speclibm_598	0.013373
speclibm_599	0.011052
speclibm_600	0.018531
speclibm_601	0.013373
speclibm_602	0.011042
speclibm_603	0.018531
speclibm_604	0.013373
speclibm_605	0.011052
speclibm_606	0.018531
speclibm_607	0.013373
speclibm_608	0.011052
speclibm_609	0.018531
speclibm_610	0.013373
speclibm_611	0.011052
speclibm_612	0.018531
speclibm_613	0.013373
speclibm_614	0.011052
speclibm_615	0.018531
speclibm_616	0.013373
speclibm_617	0.011052
speclibm_618	0.018531
speclibm_619	0.013373
speclibm_620	0.011052
speclibm_621	0.018531
speclibm_622	0.013373
speclibm_623	0.011052
speclibm_624	0.018531
speclibm_625	0.013373
speclibm_626	0.011052
speclibm_627	0.018531
speclibm_628	0.013373
speclibm_629	0.011052
speclibm_630	0.018531
speclibm_631	0.013373
speclibm_632	0.011052
speclibm_633	0.018531
speclibm_634	0.013373
speclibm_635	0.011052
speclibm_636	0.018531
speclibm_637	0.013373
speclibm_638	0.011052
speclibm_639	0.018531
speclibm_640	0.013373
speclibm_641	0.011052
speclibm_642	0.018531
speclibm_643	0.013373
speclibm_644	0.011052
speclibm_645	0.018531
speclibm_646	0.013373
speclibm_647	0.011052
speclibm_648	0.018531
speclibm_649	0.013373
speclibm_650	0.011052
speclibm_651	0.018531
speclibm_652	0.013373
speclibm_653	0.011052
speclibm_654	0.018531
speclibm_655	0.013373
speclibm_656	0.011052
speclibm_657	0.018531
speclibm_658	0.013373
speclibm_659	0.011052
speclibm_660	0.018531
speclibm_661	0.013373
speclibm_662	0.011052
speclibm_663	0.018531
speclibm_664	0.013373
speclibm_665	0.011052
speclibm_666	0.018531
speclibm_667	0.013373
speclibm_668	0.011052
speclibm_669	0.018531
speclibm_670	0.013373
speclibm_671	0.011052
speclibm_672	0.018531
speclibm_673	0.013373
speclibm_674	0.011052
speclibm_675	0.018531
speclibm_676	0.013373
speclibm_677	0.011042
speclibm_678	0.018531
speclibm_679	0.013373
speclibm_680	0.011052
speclibm_681	0.018531
speclibm_682	0.013373
speclibm_683	0.011052
speclibm_684	0.018531
speclibm_685	0.013373
speclibm_686	0.011052
speclibm_687	0.018531
speclibm_688	0.013373
speclibm_689	0.011052
speclibm_690	0.018531
speclibm_691	0.013373
speclibm_692	0.011052
speclibm_693	0.018531
speclibm_694	0.013373
speclibm_695	0.011052
speclibm_696	0.018531
speclibm_697	0.013373
speclibm_698	0.011052
speclibm_699	0.018531
speclibm_700	0.013373
speclibm_701	0.011052
speclibm_702	0.018531
speclibm_703	0.013373
speclibm_704	0.011052
speclibm_705	0.018531
speclibm_706	0.013373
speclibm_707	0.011052
speclibm_708	0.018531
speclibm_709	0.013373
speclibm_710	0.011052
speclibm_711	0.018531
speclibm_712	0.013373
speclibm_713	0.011052
speclibm_714	0.018531
speclibm_715	0.013373
